,Year,Organization,Designation,Standing,Allocation,norm_by_y,norm_by_yd
0,2012,maganda magazine,Publications RSO,23,1592.02,-0.00828130626085094,0.03636698665472634
1,2012,Threads,Publications RSO,12,1300.0,-0.07039632423411651,-0.02574803131853924
2,2012,Alternative Breaks,Service RSO,10,891.07,-0.15737904562240326,-0.18124644087678893
3,2012,BARE Magazine,Publications RSO,6,1250.0,-0.08103172899633582,-0.03638343608075854
4,2012,Berkeley Fiction Review,Publications RSO,29,1036.99,-0.12634068036434246,-0.08169238744876518
5,2012,Berkeley Poetry Review,Publications RSO,18,1500.0,-0.02785470518523933,0.01679358773033795
6,2012,Berkeley Review of Education,Publications RSO,1,500.0,-0.24056280042962527,-0.195914507514048
7,2012,Berkeley Science Review,Publications RSO,13,2139.47,0.10816574048068811,0.1528140333962654
8,2012,Caliber Magazine,Publications RSO,3,1700.0,0.014686913863637859,0.05933520677921514
9,2012,Cal Literature & Arts Magazine,Publications RSO,15,1495.0,-0.02891824566146126,0.01573004725411602
10,2012,Clio's Scroll,Publications RSO,13,1100.0,-0.11293794328299371,-0.06828965036741642
11,2012,Cultural Analysis,Publications RSO,3,620.9,-0.21484639171457903,-0.17019809879900175
12,2012,Imaginarium,Publications RSO,1,500.0,-0.24056280042962527,-0.195914507514048
13,2012,Fabric Publishing Collective,Publications RSO,1,400.0,-0.26183360995406385,-0.2171853170384866
14,2012,hardboiled,Publications RSO,16,4645.11,0.6411356522488312,0.6857839451644085
15,2012,The Heuristic Squelch,Publications RSO,16,2400.0,0.16358258053470803,0.2082308734502853
16,2012,Human Journal at Berkeley,Publications RSO,2,595.0,-0.22035553138140862,-0.17570723846583133
17,2012,MISTER Magazine,Publications RSO,1,488.0,-0.2431152975725579,-0.19846700465698064
18,2012,Onyx Express,Publications RSO,17,4345.64,0.5774359589659951,0.6220842518815725
19,2012,Perspective Magazine,Publications RSO,8,1200.0,-0.09166713375855512,-0.04701884084297783
20,2012,Premed Perspective,Publications RSO,8,1200.0,-0.09166713375855512,-0.04701884084297783
